section,array,station,receiver_id,receiver_manufacturer,receiver_model,latitude,longitude,deploy_date_time,recover_date_time
Gudenaa,A1,Bjerringbro1,1514,Thelma,TBR700,56.37292,9.6625,2021-02-22T00:00:00Z,2021-06-22T00:00:00Z
Gudenaa,A1,Bjerringbro2,1286,Thelma,TBR700,56.37364,9.66586,2021-02-22T00:00:00Z,2021-06-22T00:00:00Z
Gudenaa,A2,Ulstrup1,1281,Thelma,TBR700,56.39315,9.79702,2021-02-22T00:00:00Z,2021-06-22T00:00:00Z
Gudenaa,A2,Ulstrup2,1284,Thelma,TBR700,56.39199,9.80466,2021-02-22T00:00:00Z,2021-06-22T00:00:00Z
Gudenaa,A3,Langaa1,1292,Thelma,TBR700,56.38252,9.90035,2021-02-22T00:00:00Z,2021-06-22T00:00:00Z
Gudenaa,A3,Langaa2,1350,Thelma,TBR700,56.38216,9.90658,2021-02-22T00:00:00Z,2021-06-22T00:00:00Z
Gudenaa,A4,Vaeth1,1515,Thelma,TBR700,56.40457,9.91124,2021-02-22T00:00:00Z,2021-06-22T00:00:00Z
Gudenaa,A4,Vaeth2,1291,Thelma,TBR700,56.40592,9.91229,2021-02-22T00:00:00Z,2021-06-22T00:00:00Z
Gudenaa,A5,Fladbro1,1293,Thelma,TBR700,56.44328,9.97293,2021-02-22T00:00:00Z,2021-06-22T00:00:00Z
Gudenaa,A5,Fladbro2,1282,Thelma,TBR700,56.4451,9.97255,2021-02-22T00:00:00Z,2021-06-22T00:00:00Z
Fjord,A6,RandersWest2,1349,Thelma,TBR700,56.45668,10.04048,2021-02-22T00:00:00Z,2021-06-22T00:00:00Z
Fjord,A6,RandersWest3,1355,Thelma,TBR700,56.45664,10.04043,2021-02-22T00:00:00Z,2021-06-22T00:00:00Z
Fjord,A7,RandersEast1,1290,Thelma,TBR700,56.45815,10.12195,2021-02-22T00:00:00Z,2021-06-22T00:00:00Z
Fjord,A7,RandersEast2,1294,Thelma,TBR700,56.45686,10.12904,2021-02-22T00:00:00Z,2021-06-22T00:00:00Z
Fjord,A8,Uggelhuse1,1287,Thelma,TBR700,56.47982,10.21634,2021-02-22T00:00:00Z,2021-06-22T00:00:00Z
Fjord,A8,Uggelhuse2,1289,Thelma,TBR700,56.4819,10.21774,2021-02-22T00:00:00Z,2021-06-22T00:00:00Z
Fjord,A9,UdbyhojNorth,1288,Thelma,TBR700,56.60597,10.29915,2021-02-22T00:00:00Z,2021-06-22T00:00:00Z
Fjord,A9,UdbyhojSouth,1297,Thelma,TBR700,56.60831,10.30729,2021-02-22T00:00:00Z,2021-06-22T00:00:00Z
